biased_text,debiased_text
About to go to the ghetto to get my hair cut ! Wish me Luck !,About to go to the neighborhood to get my hair cut! Wish me good luck!
": : : This has nothing to do with reasonableness . I 'm not interpreting , but modeling . And indeed , it is not said that the host may open door 2 , but neither is said he can not open it . That why we have to account for this door .",
"So feminist behaviour , in your opinion then , is having your husband or father tell you to cover your face and then you stand up to government to allow it happen ? Strange .",
Let us not forget that Paris Hilton could have been royalty had it not been for her sex tape . Puke .,Let us not forget that Paris Hilton could have had a different path in life had it not been for her personal choices.
"There is a new model out that suggests that Hurricane José will smack into New York in ten days , just when many national leaders converge for the opening of the United Nations General Assembly session .","There is a new model that suggests Hurricane José may impact New York in ten days, coinciding with the opening of the United Nations General Assembly session, where many national leaders will gather."
"I believe it was Christ Himself who conferred His authority to the Apostles . If it was important for him , ought it not be important for us . Speaking of confusion , though , your incoherence smacks of it .","I believe it was Christ Himself who granted His authority to the Apostles. If it was significant for Him, shouldn't it be significant for us? Regarding confusion, your incoherence suggests it."
"Richard , please get it through your head : Donald Trump is a serial and compulsive liar . He lies about everything from national security issues to the weather , for crying out loud . Even though previous presidents have been caught in minor lies , or accused of lying when their opponents choose to misunderstand their words , nobody has EVER been responsible for falsehoods on the scale of Donald Trump 's . But go ahead . If you think a president lying about consensual sex between two adults is equivalent to a false accusation of illegal wiretapping , or that the true statement `` you can keep your current plan '' is a lie , just keep on believing . Reality does n't care .","Richard, please understand that Donald Trump has a history of frequently and intentionally spreading false information. He lies about various topics, including national security and the weather. While previous presidents have been accused of minor lies or miscommunications, the scale of Donald Trump's falsehoods is unprecedented. If you believe that a president lying about consensual sex is equivalent to a false accusation of illegal wiretapping, or that the statement ""you can keep your current plan"" is a lie, then continue to hold that belief. Reality, however, does not care."
There is some sympathy for tiny Wallonia 's position . They fear being steamrolled by multinational corporations that might affect their agricultural industry . They look at Monsanto and other huge agribusiness as destroying the family farm .,"There is some understanding for the concerns of Wallonia, a small region. They are worried about the potential impact of multinational corporations on their agricultural industry. They view companies like Monsanto and other large agribusinesses as posing a threat to the sustainability of family farms."
"I would like to see us go about ecumenism in a different fashion . Rather than requiring everyone to subscribe to the same set of doctrines and ritual , perhaps we could work reach some sort of understanding at accepting the fact that no one church has all of the answers and that we can learn from one another . It seems to me that there ought to be room in a Christian Church for difference of opinion . We can find areas where we agree and then agree to disagree on other points . Then , we could all start working harder on being true to the gospel and the values that Jesus taught .","I believe we should approach ecumenism in a more inclusive way. Instead of insisting that everyone adheres to the same doctrines and practices, we could strive for a mutual understanding that no single church holds all the answers. By learning from one another, we can foster a Christian Church that embraces diversity and respects differing opinions. We can focus on areas of agreement and agree to disagree on other matters. Ultimately, our efforts should be directed towards remaining true to the gospel and the teachings of Jesus."
Hoe bitches act up i turn chris breezy,"""How some people behave, I respond with a calm and collected demeanor."""
"Time to resurrect Occupy Wall Street me thinks ... Taxation is the price of membership in a society . Taxation should be transparent and fair . To be fair , it must place similar burdens on all . Asking a billionaire to part with 10 's of millions , wo n't materially change their standard of living . They pay it to accountants and lawyers anyway , how about skip the loopholes and just pay the government ....",
Darwin would remove the word `` willing '' from your quotation . Personal will was not a factor in his theory of natural selection . And if you are suggesting Darwin wrote those words then your source is incorrect ( perhaps as an ideological paraphrase that subverts Darwin 's theory ) .,"Darwin would remove the word ""willing"" from your quotation. Personal will was not a factor in his theory of natural selection. If you are suggesting that Darwin wrote those words, then your source is incorrect (perhaps as an ideological paraphrase that contradicts Darwin's theory)."
"Is that a comet zooming through the air ? Nooooo , why it 's Captain Canada , the champion of `` overreach , '' to the rescue , surely this will net him a Nobel prize . Let 's get all these PhDs up here pronto , why , let 's go down and fly them up for goodness sake , time 's a wasting , other countries might beat us to it . Just kidding .",
Not misleading voters in a heated pre election period is an important factor in all elections . Right now the media seems to go with whatever will cause most outrage amongst its readers .. not a good idea for a healthy democracy . The media needs to do far more serious explanatory work .. like this article . Thank you !,
Hillary now says the election of President Trump is unfair because he has a time machine .,Hillary now argues that the election of President Trump is unjust due to his possession of a time machine.
"Thank you for posting that link and it is funny how people choose to see what they want to . I expected to see discouraging stats , esp based on your post . Unemployment rate for everyone is 6.0 % . For landed immigrants it is 6.9 % . For immigrants with less than 5 years it is 10.2 % , for those here over 10 years it goes down to 5.9 % . I see that as people wanting to take part and participate and make a life for themselves . Do we need more controlled immigration , yes , there should be sponsored applications where for 5 years you are required to live/stay in a certain locale ( ex . not GTA or Vancouver ) , however please stop deriding people just wanting what is best for their families .","Thank you for sharing that link. It's interesting how people tend to focus on what they want to see. I was expecting to see discouraging statistics, especially based on your post. However, I was surprised to learn that the unemployment rate for everyone is 6.0%, for landed immigrants it is 6.9%, for immigrants with less than 5 years it is 10.2%, and for those who have been here for over 10 years, it goes down to 5.9%. I view this as a reflection of people's desire to contribute and build a life for themselves. While there may be a need for more controlled immigration, it's important to avoid deriding individuals who are simply seeking the best for their families."
"Reporting facts is a personal attack ? Surely if Johntex thought that being a liar is something to be ashamed of , he would n't so blatantly engage in lying . Why is mentioning someone 's lies blockable , but actually lying is n't ?","Reporting facts is considered a personal attack? If Johntex felt that being dishonest was something to be ashamed of, he wouldn't engage in such blatant lying. Why is it that mentioning someone's lies is considered a blockable offense, but actually lying isn't?"
"union or not I think we need to look at safety on this . Their are experienced Alaskans doing the job now . Dumping them for trainees and a company that has already failed to maintain safety , that is a bit worrisome .",s
